;mess_datum;stations_id;r1;longitude;latitude
75775;2017-07-09 06:00:00;2110;0.0;6.1042;51.0411
75776;2017-07-09 07:00:00;2110;0.0;6.1042;51.0411
75777;2017-07-09 08:00:00;2110;0.0;6.1042;51.0411
75778;2017-07-09 09:00:00;2110;0.0;6.1042;51.0411
75779;2017-07-09 10:00:00;2110;0.0;6.1042;51.0411
75780;2017-07-09 11:00:00;2110;0.0;6.1042;51.0411
75781;2017-07-09 12:00:00;2110;0.0;6.1042;51.0411
75782;2017-07-09 13:00:00;2110;0.0;6.1042;51.0411
75783;2017-07-09 14:00:00;2110;0.0;6.1042;51.0411
75784;2017-07-09 15:00:00;2110;0.0;6.1042;51.0411
75785;2017-07-09 16:00:00;2110;0.0;6.1042;51.0411
75786;2017-07-09 17:00:00;2110;0.0;6.1042;51.0411
75787;2017-07-09 18:00:00;2110;0.0;6.1042;51.0411
75788;2017-07-09 19:00:00;2110;0.0;6.1042;51.0411
75789;2017-07-09 20:00:00;2110;0.0;6.1042;51.0411
75790;2017-07-09 21:00:00;2110;0.0;6.1042;51.0411
75791;2017-07-09 22:00:00;2110;0.0;6.1042;51.0411
75792;2017-07-09 23:00:00;2110;0.0;6.1042;51.0411
75793;2017-07-10 00:00:00;2110;0.0;6.1042;51.0411
75794;2017-07-10 01:00:00;2110;0.0;6.1042;51.0411
75795;2017-07-10 02:00:00;2110;0.1;6.1042;51.0411
75796;2017-07-10 03:00:00;2110;0.2;6.1042;51.0411
75797;2017-07-10 04:00:00;2110;0.0;6.1042;51.0411
75798;2017-07-10 05:00:00;2110;0.0;6.1042;51.0411
75799;2017-07-10 06:00:00;2110;0.0;6.1042;51.0411
75800;2017-07-10 07:00:00;2110;0.0;6.1042;51.0411
75801;2017-07-10 08:00:00;2110;0.0;6.1042;51.0411
75802;2017-07-10 09:00:00;2110;0.0;6.1042;51.0411
75803;2017-07-10 10:00:00;2110;0.0;6.1042;51.0411
75804;2017-07-10 11:00:00;2110;0.0;6.1042;51.0411
75805;2017-07-10 12:00:00;2110;0.0;6.1042;51.0411
75806;2017-07-10 13:00:00;2110;0.0;6.1042;51.0411
75807;2017-07-10 14:00:00;2110;0.0;6.1042;51.0411
75808;2017-07-10 15:00:00;2110;0.0;6.1042;51.0411
75809;2017-07-10 16:00:00;2110;0.0;6.1042;51.0411
75810;2017-07-10 17:00:00;2110;0.0;6.1042;51.0411
75811;2017-07-10 18:00:00;2110;0.0;6.1042;51.0411
75812;2017-07-10 19:00:00;2110;0.0;6.1042;51.0411
75813;2017-07-10 20:00:00;2110;0.0;6.1042;51.0411
75814;2017-07-10 21:00:00;2110;0.0;6.1042;51.0411
75815;2017-07-10 22:00:00;2110;0.0;6.1042;51.0411
75816;2017-07-10 23:00:00;2110;0.0;6.1042;51.0411
75817;2017-07-11 00:00:00;2110;0.0;6.1042;51.0411
75818;2017-07-11 01:00:00;2110;0.0;6.1042;51.0411
75819;2017-07-11 02:00:00;2110;0.0;6.1042;51.0411
75820;2017-07-11 03:00:00;2110;0.0;6.1042;51.0411
75821;2017-07-11 04:00:00;2110;0.0;6.1042;51.0411
75822;2017-07-11 05:00:00;2110;0.0;6.1042;51.0411
75823;2017-07-11 06:00:00;2110;0.0;6.1042;51.0411
75824;2017-07-11 07:00:00;2110;0.0;6.1042;51.0411
75825;2017-07-11 08:00:00;2110;0.0;6.1042;51.0411
75826;2017-07-11 09:00:00;2110;0.0;6.1042;51.0411
75827;2017-07-11 10:00:00;2110;0.0;6.1042;51.0411
75828;2017-07-11 11:00:00;2110;0.0;6.1042;51.0411
75829;2017-07-11 12:00:00;2110;0.0;6.1042;51.0411
75830;2017-07-11 13:00:00;2110;0.0;6.1042;51.0411
75831;2017-07-11 14:00:00;2110;0.0;6.1042;51.0411
75832;2017-07-11 15:00:00;2110;0.0;6.1042;51.0411
75833;2017-07-11 16:00:00;2110;0.0;6.1042;51.0411
75834;2017-07-11 17:00:00;2110;0.0;6.1042;51.0411
75835;2017-07-11 18:00:00;2110;0.0;6.1042;51.0411
75836;2017-07-11 19:00:00;2110;0.0;6.1042;51.0411
